sepal length,sepal width,petal length,petal width,label
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.014513,3.426027,1.4613687,0.25169125,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.014995,3.4269881,1.4520423,0.25493875,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0170555,3.4153283,1.4680742,0.2540207,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
4.9979057,3.3886204,1.4904397,0.24502307,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.014873,3.423281,1.4649547,0.2500997,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.042535,3.414249,1.4696193,0.24513775,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0144725,3.4259467,1.462148,0.25141984,Generated (VQC + MLP)
5.0132375,3.4248095,1.4648043,0.2502036,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0159526,3.4288962,1.4335272,0.26138598,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
5.018175,3.406615,1.462605,0.25077814,Generated (VQC + MLP)
5.015815,3.4286208,1.4361992,0.26045558,Generated (VQC + MLP)
5.0143213,3.4256454,1.4650736,0.2504011,Generated (VQC + MLP)
